,Prompt,Label
0,The capital of Afghanistan is,Kabul
1,The capital of Albania is,Tirana
2,The capital of Algeria is,Algiers
3,The capital of Andorra is,Andorra la Vella
4,The capital of Angola is,Luanda
5,The capital of Antigua and Barbuda is,Saint John's
6,The capital of Argentina is,Buenos Aires
7,The capital of Armenia is,Yerevan
8,The capital of Australia is,Canberra
9,The capital of Austria is,Vienna
10,The capital of Azerbaijan is,Baku
11,The capital of Bahamas is,Nassau
12,The capital of Bahrain is,Manama
13,The capital of Bangladesh is,Dhaka
14,The capital of Barbados is,Bridgetown
15,The capital of Belarus is,Minsk
16,The capital of Belgium is,Brussels
17,The capital of Belize is,Belmopan
18,The capital of Benin is,Porto-Novo
19,The capital of Bhutan is,Thimphu
20,The capital of Bolivia is,Sucre
21,The capital of Bosnia and Herzegovina is,Sarajevo
22,The capital of Botswana is,Gaborone
23,The capital of Brazil is,Brasília
24,The capital of Brunei is,Bandar Seri Begawan
25,The capital of Bulgaria is,Sofia
26,The capital of Burkina Faso is,Ouagadougou
27,The capital of Burundi is,Gitega
28,The capital of Cabo Verde is,Praia
29,The capital of Cambodia is,Phnom Penh
30,The capital of Cameroon is,Yaoundé
31,The capital of Canada is,Ottawa
32,The capital of Central African Republic is,Bangui
33,The capital of Chad is,N'Djamena
34,The capital of Chile is,Santiago
35,The capital of China is,Beijing
36,The capital of Colombia is,Bogotá
37,The capital of Comoros is,Moroni
38,The capital of Congo is,Brazzaville
39,The capital of Costa Rica is,San José
40,The capital of Croatia is,Zagreb
41,The capital of Cuba is,Havana
42,The capital of Cyprus is,Nicosia
43,The capital of Czech Republic is,Prague
44,The capital of Democratic Republic of the Congo is,Kinshasa
45,The capital of Denmark is,Copenhagen
46,The capital of Djibouti is,Djibouti
47,The capital of Dominica is,Roseau
48,The capital of Dominican Republic is,Santo Domingo
49,The capital of Ecuador is,Quito
50,The capital of Egypt is,Cairo
51,The capital of El Salvador is,San Salvador
52,The capital of Equatorial Guinea is,Malabo
53,The capital of Eritrea is,Asmara
54,The capital of Estonia is,Tallinn
55,The capital of Eswatini is,Mbabane
56,The capital of Ethiopia is,Addis Ababa
57,The capital of Fiji is,Suva
58,The capital of Finland is,Helsinki
59,The capital of France is,Paris
60,The capital of Gabon is,Libreville
61,The capital of Gambia is,Banjul
62,The capital of Georgia is,Tbilisi
63,The capital of Germany is,Berlin
64,The capital of Ghana is,Accra
65,The capital of Greece is,Athens
66,The capital of Grenada is,Saint George's
67,The capital of Guatemala is,Guatemala City
68,The capital of Guinea is,Conakry
69,The capital of Guinea-Bissau is,Bissau
70,The capital of Guyana is,Georgetown
71,The capital of Haiti is,Port-au-Prince
72,The capital of Honduras is,Tegucigalpa
73,The capital of Hungary is,Budapest
74,The capital of Iceland is,Reykjavík
75,The capital of India is,New Delhi
76,The capital of Indonesia is,Jakarta
77,The capital of Iran is,Tehran
78,The capital of Iraq is,Baghdad
79,The capital of Ireland is,Dublin
80,The capital of Israel is,Jerusalem
81,The capital of Italy is,Rome
82,The capital of Ivory Coast is,Yamoussoukro
83,The capital of Jamaica is,Kingston
84,The capital of Japan is,Tokyo
85,The capital of Jordan is,Amman
86,The capital of Kazakhstan is,Nur-Sultan
87,The capital of Kenya is,Nairobi
88,The capital of Kiribati is,Tarawa
89,The capital of Kuwait is,Kuwait City
90,The capital of Kyrgyzstan is,Bishkek
91,The capital of Laos is,Vientiane
92,The capital of Latvia is,Riga
93,The capital of Lebanon is,Beirut
94,The capital of Lesotho is,Maseru
95,The capital of Liberia is,Monrovia
96,The capital of Libya is,Tripoli
97,The capital of Liechtenstein is,Vaduz
98,The capital of Lithuania is,Vilnius
99,The capital of Luxembourg is,Luxembourg City
100,The capital of Madagascar is,Antananarivo
101,The capital of Malawi is,Lilongwe
102,The capital of Malaysia is,Kuala Lumpur
103,The capital of Maldives is,Malé
104,The capital of Mali is,Bamako
105,The capital of Malta is,Valletta
106,The capital of Marshall Islands is,Majuro
107,The capital of Mauritania is,Nouakchott
108,The capital of Mauritius is,Port Louis
109,The capital of Mexico is,Mexico City
110,The capital of Micronesia is,Palikir
111,The capital of Moldova is,Chișinău
112,The capital of Monaco is,Monaco
113,The capital of Mongolia is,Ulaanbaatar
114,The capital of Montenegro is,Podgorica
115,The capital of Morocco is,Rabat
116,The capital of Mozambique is,Maputo
117,The capital of Myanmar is,Naypyidaw
118,The capital of Namibia is,Windhoek
119,The capital of Nauru is,Yaren
120,The capital of Nepal is,Kathmandu
121,The capital of Netherlands is,Amsterdam
122,The capital of New Zealand is,Wellington
123,The capital of Nicaragua is,Managua
124,The capital of Niger is,Niamey
125,The capital of Nigeria is,Abuja
126,The capital of North Korea is,Pyongyang
127,The capital of North Macedonia is,Skopje
128,The capital of Norway is,Oslo
129,The capital of Oman is,Muscat
130,The capital of Pakistan is,Islamabad
131,The capital of Palau is,Ngerulmud
132,The capital of Palestine is,Ramallah
133,The capital of Panama is,Panama City
134,The capital of Papua New Guinea is,Port Moresby
135,The capital of Paraguay is,Asunción
136,The capital of Peru is,Lima
137,The capital of Philippines is,Manila
138,The capital of Poland is,Warsaw
139,The capital of Portugal is,Lisbon
140,The capital of Qatar is,Doha
